Image,Class,W400,W410,W420,W430,W440,W450,W460,W470,W480,W490,W500,W510,W520,W530,W540,W550,W560,W570,W580,W590,W600,W610,W620,W630,W640,W650,W660,W670,W680,W690,W700
actinic_keratosis_aug_107.mat,actinic_keratosis,0.25837722,0.30536878,0.31526884,0.3074289,0.2936131,0.3009565,0.32095057,0.3268642,0.33624232,0.35999316,0.37589884,0.40081707,0.39424282,0.41983113,0.4371778,0.4409881,0.4488449,0.5020705,0.56805736,0.62869066,0.6883015,0.76929945,0.8306304,0.7701331,0.7286332,0.74111134,0.7392884,0.72427064,0.745587,0.7664519,0.7344525
actinic_keratosis_aug_108.mat,actinic_keratosis,0.13477385,0.19272669,0.16442043,0.16437551,0.15150833,0.16331264,0.1950318,0.2065887,0.28701192,0.2881249,0.24596578,0.30059308,0.28236845,0.3173191,0.30773866,0.33606237,0.3567423,0.35249004,0.3522393,0.47690305,0.5217081,0.594609,0.668852,0.66738015,0.6554582,0.6326845,0.59945744,0.7176511,0.697335,0.66317326,0.5717511
actinic_keratosis_aug_109.mat,actinic_keratosis,0.22679141,0.28356248,0.27554148,0.26771963,0.25602797,0.2593929,0.28562114,0.29432225,0.33346862,0.35185197,0.34848565,0.40002483,0.40280604,0.4450919,0.45760798,0.47753552,0.4954411,0.53079885,0.55312043,0.6084328,0.62060213,0.6602821,0.7002999,0.6435249,0.59748435,0.6041303,0.60687125,0.63233984,0.6620356,0.67239344,0.6367784
actinic_keratosis_aug_11.mat,actinic_keratosis,0.31027383,0.35533887,0.35286373,0.33492717,0.31580898,0.3096298,0.32070947,0.32083613,0.3217877,0.3543492,0.37461293,0.41603684,0.4238396,0.4574592,0.47597858,0.48216805,0.49280784,0.53874415,0.577312,0.6374204,0.67745185,0.7260879,0.76749164,0.704946,0.6549461,0.6613462,0.6670051,0.6583198,0.6968442,0.71988386,0.7055474
actinic_keratosis_aug_110.mat,actinic_keratosis,0.37569028,0.41738105,0.4040902,0.3778747,0.3538026,0.33813882,0.3414965,0.33668995,0.3252882,0.36913064,0.39524257,0.45182487,0.47517273,0.5175216,0.5407353,0.55061144,0.5635131,0.59526646,0.6069727,0.6766324,0.70925915,0.73402846,0.7598161,0.6973906,0.6393321,0.62909013,0.625161,0.62389493,0.66783553,0.69218904,0.69515073
actinic_keratosis_aug_111.mat,actinic_keratosis,0.37725237,0.4158791,0.395145,0.36737612,0.33618584,0.31862405,0.32238364,0.32291636,0.33727476,0.3701085,0.38039118,0.43439868,0.45198452,0.49534732,0.5110318,0.52345747,0.546532,0.5606043,0.5559035,0.6460118,0.68138987,0.7094482,0.7405451,0.70059586,0.65552014,0.63736314,0.6298801,0.6500373,0.67673403,0.68182313,0.6726407
actinic_keratosis_aug_112.mat,actinic_keratosis,0.3728568,0.40408903,0.37821248,0.35560974,0.3311038,0.30498278,0.30259836,0.30097038,0.31214604,0.34539708,0.35497555,0.41316175,0.43565843,0.4790761,0.49895215,0.513639,0.5300605,0.5309966,0.513142,0.5912689,0.61007386,0.6127329,0.62660277,0.58487415,0.53714603,0.5105471,0.49785468,0.5150304,0.53944993,0.5401877,0.5291857
actinic_keratosis_aug_113.mat,actinic_keratosis,0.4396998,0.47098893,0.44554454,0.41125324,0.3712503,0.34572676,0.34261683,0.34336925,0.3549185,0.39295286,0.4058417,0.46088615,0.48442215,0.53067476,0.5486199,0.5591431,0.5807502,0.58387667,0.5644043,0.6739931,0.71978253,0.7472956,0.77807593,0.74996513,0.7068213,0.6754336,0.6610122,0.6841681,0.70381206,0.69785523,0.6966074
actinic_keratosis_aug_114.mat,actinic_keratosis,0.37894654,0.42810547,0.4344248,0.4258456,0.40508324,0.40453222,0.43328744,0.45601532,0.47090954,0.5156242,0.53165346,0.56687564,0.5790715,0.6352711,0.6766705,0.6981327,0.7146141,0.768691,0.8139839,0.9140768,0.97367376,1.0539713,1.1147652,1.070485,1.0279629,1.0158836,1.0035378,0.9930586,0.9782995,0.92762053,0.8581839
actinic_keratosis_aug_115.mat,actinic_keratosis,0.37896347,0.41584265,0.3872183,0.35903114,0.32943648,0.3129554,0.3156783,0.31466916,0.33116078,0.36187574,0.36559346,0.42119512,0.43683553,0.47742987,0.48635182,0.49804717,0.5228679,0.5203157,0.5000934,0.6060193,0.64565325,0.6707276,0.7018976,0.6757185,0.63539135,0.60367984,0.58273077,0.6080289,0.6180206,0.6031816,0.57916135
actinic_keratosis_aug_116.mat,actinic_keratosis,0.17613441,0.23206352,0.25481638,0.26512134,0.2730917,0.30521438,0.33834442,0.33796865,0.35350823,0.36916703,0.38180795,0.41924608,0.41913068,0.45218003,0.47137952,0.48447093,0.49874732,0.5647836,0.6385247,0.65480345,0.67503077,0.73975116,0.78491706,0.6943955,0.63999367,0.66666627,0.6700074,0.6719363,0.71061385,0.7636426,0.7348397
actinic_keratosis_aug_117.mat,actinic_keratosis,0.30520248,0.35059333,0.35669237,0.34473568,0.33072805,0.33382863,0.34898525,0.34974378,0.3470905,0.3781796,0.40143344,0.43352664,0.43485883,0.46584138,0.487454,0.4912479,0.49818388,0.5544496,0.6145858,0.6772779,0.733649,0.8027823,0.85428685,0.7851905,0.73251075,0.73842543,0.734847,0.707623,0.7355257,0.7584427,0.73531926
actinic_keratosis_aug_118.mat,actinic_keratosis,0.21442999,0.2623008,0.24390003,0.23175462,0.21393949,0.20965399,0.22723912,0.23258056,0.2715051,0.288705,0.27990127,0.32806486,0.32382655,0.35714778,0.36233443,0.3783161,0.39474255,0.40903294,0.4225285,0.5056455,0.54179454,0.5893844,0.6385204,0.60527194,0.57388043,0.5660799,0.5531784,0.59512866,0.607977,0.6064356,0.5579692
actinic_keratosis_aug_119.mat,actinic_keratosis,0.41937268,0.45017546,0.4364397,0.40654093,0.36540732,0.34455076,0.344631,0.35031912,0.3660889,0.39964312,0.4146416,0.45371062,0.46656334,0.50003403,0.5162948,0.52198565,0.53455675,0.5599496,0.5729475,0.66722816,0.72014785,0.7644429,0.80517,0.7746541,0.7414699,0.73158234,0.7342129,0.76005495,0.78061783,0.78173643,0.7688384
actinic_keratosis_aug_12.mat,actinic_keratosis,0.3333807,0.37819085,0.37952563,0.3672576,0.3542756,0.35927925,0.3747977,0.37332326,0.3712544,0.40238824,0.424764,0.46210563,0.4678948,0.5078031,0.53699106,0.5498158,0.56397504,0.62132686,0.68149495,0.75144416,0.80732703,0.8709025,0.9158166,0.8400112,0.7799063,0.7748561,0.7575604,0.72825825,0.74943835,0.7747495,0.7517234
actinic_keratosis_aug_120.mat,actinic_keratosis,0.21940944,0.27587253,0.3046691,0.30739003,0.3017769,0.3194961,0.3486866,0.35694444,0.36899552,0.399978,0.42752442,0.47123817,0.48756596,0.5312104,0.56431067,0.57794625,0.5909224,0.6587689,0.7278985,0.73599076,0.75104713,0.80650514,0.8431119,0.74336606,0.68214864,0.7106303,0.7285917,0.733865,0.79304844,0.8623357,0.86703783
actinic_keratosis_aug_121.mat,actinic_keratosis,0.30065903,0.3534594,0.3779968,0.3712444,0.3585071,0.37025028,0.3923339,0.39690703,0.3895739,0.4283504,0.46484122,0.5057279,0.5264216,0.5700942,0.60659385,0.6157211,0.62752646,0.69838727,0.76855814,0.7898593,0.8197017,0.8779971,0.9137812,0.8112844,0.7438764,0.7628426,0.77082056,0.75599384,0.8130888,0.88418597,0.89772636
actinic_keratosis_aug_122.mat,actinic_keratosis,0.3759239,0.41866896,0.40449935,0.3799439,0.35377035,0.33487713,0.342708,0.34659955,0.3633053,0.3982571,0.4159543,0.4759352,0.50074273,0.55323255,0.5760522,0.58938396,0.6119001,0.6309031,0.62466,0.69605815,0.7176386,0.7378644,0.7627933,0.70649505,0.64948595,0.6400097,0.6424078,0.63827825,0.68676215,0.7090763,0.7247669
actinic_keratosis_aug_123.mat,actinic_keratosis,0.15107174,0.20862226,0.18391898,0.18225841,0.16545662,0.17147891,0.19908506,0.20815846,0.27570888,0.28439352,0.24759416,0.30364963,0.29039392,0.33050504,0.32875687,0.35815692,0.37784073,0.38554102,0.39159817,0.51148945,0.5555643,0.62964314,0.7007317,0.68739486,0.6672855,0.6445266,0.6121063,0.73025,0.7210914,0.70430183,0.6304719
actinic_keratosis_aug_124.mat,actinic_keratosis,0.49571103,0.5080999,0.45960134,0.42052823,0.36738092,0.32685196,0.3115283,0.3157479,0.35983348,0.38966814,0.3822238,0.44370866,0.4718053,0.52849656,0.5444119,0.55858636,0.5734937,0.5321914,0.4625894,0.67415637,0.7739736,0.8207959,0.8722879,0.9124636,0.8937934,0.80877745,0.76113826,0.8239134,0.79889923,0.7235998,0.71472895
actinic_keratosis_aug_125.mat,actinic_keratosis,0.33320433,0.3785165,0.3789458,0.3656333,0.35100174,0.3464223,0.3600402,0.36257887,0.3702478,0.40209258,0.42570272,0.4723958,0.4872446,0.5300408,0.55641806,0.56769264,0.58183956,0.6270599,0.6631823,0.7108905,0.7382424,0.77525705,0.80419683,0.7255829,0.66236275,0.6647441,0.66459394,0.6397737,0.68423,0.72258675,0.7259354
actinic_keratosis_aug_126.mat,actinic_keratosis,0.35061812,0.39310282,0.38431743,0.362578,0.3406604,0.32943177,0.3364432,0.33534876,0.33600047,0.37071565,0.39038745,0.43579635,0.44738653,0.48483005,0.5047413,0.5120469,0.5262663,0.5645372,0.5928622,0.66367126,0.7035522,0.74399674,0.77961487,0.7191034,0.66508377,0.6602656,0.6605852,0.64873457,0.68084204,0.69212276,0.6752512
actinic_keratosis_aug_127.mat,actinic_keratosis,0.17889541,0.22928204,0.23943251,0.24513403,0.2473503,0.267477,0.2960507,0.3000445,0.33154175,0.3410761,0.3446461,0.38071358,0.37596884,0.406952,0.41964078,0.43272606,0.45207378,0.49367875,0.54590946,0.5841153,0.6120609,0.6718657,0.71912885,0.65221936,0.6093287,0.6248275,0.6218378,0.6230942,0.64892364,0.6790786,0.64159006
actinic_keratosis_aug_128.mat,actinic_keratosis,0.44921333,0.47721532,0.43693307,0.40146357,0.3592449,0.33253217,0.32642326,0.32706887,0.3491682,0.3867082,0.38692543,0.45106658,0.47811535,0.52837807,0.5410851,0.55529803,0.57428455,0.5484468,0.49585328,0.65435535,0.71872425,0.7480994,0.78394777,0.78762245,0.75324684,0.6877617,0.646053,0.7011238,0.69073236,0.64405596,0.62632495
actinic_keratosis_aug_129.mat,actinic_keratosis,0.2746569,0.3133135,0.27823883,0.26071024,0.23633566,0.22295496,0.23082449,0.22967772,0.26038858,0.29010594,0.27950442,0.34625617,0.35625464,0.40154928,0.41254035,0.4383122,0.45911416,0.44338912,0.41811693,0.5341577,0.573303,0.6034699,0.64251643,0.625747,0.5944302,0.5530268,0.50971836,0.58951503,0.59011286,0.5844088,0.5489711
actinic_keratosis_aug_13.mat,actinic_keratosis,0.51507866,0.524852,0.4829753,0.44661498,0.39108217,0.3533638,0.3412281,0.35200977,0.41078463,0.43680835,0.43312538,0.4910431,0.5217191,0.57298934,0.59053797,0.60091805,0.5937053,0.56291133,0.50502014,0.690297,0.78299826,0.8276509,0.879651,0.9156574,0.90571165,0.84587187,0.82033795,0.893278,0.88045555,0.8191675,0.81516325
actinic_keratosis_aug_130.mat,actinic_keratosis,0.48395598,0.48256037,0.4600887,0.42964596,0.37722605,0.33020085,0.31148538,0.32118145,0.35648197,0.38655072,0.3989993,0.43544513,0.45486176,0.4923026,0.5188992,0.52021074,0.5132672,0.5033935,0.48868525,0.6464012,0.7490975,0.8047169,0.85963124,0.87803406,0.8686515,0.8310201,0.8256108,0.8611677,0.8681035,0.8368183,0.84502
actinic_keratosis_aug_131.mat,actinic_keratosis,0.42859498,0.47475132,0.48387194,0.46147308,0.44037083,0.44962052,0.46360564,0.46253783,0.4378918,0.47580767,0.5094198,0.53836304,0.5556957,0.60222894,0.6453829,0.6593675,0.6834147,0.7618388,0.84769034,0.9402496,1.0262551,1.1150929,1.1674017,1.0762082,1.0012255,0.98677266,0.9650409,0.917726,0.9419951,0.9681938,0.96623534
actinic_keratosis_aug_132.mat,actinic_keratosis,0.3429992,0.3829588,0.37165192,0.35380623,0.33336532,0.3196584,0.3268016,0.32901952,0.34444633,0.37414357,0.38812152,0.4410269,0.46072492,0.5040869,0.5239847,0.53627133,0.55833614,0.5759291,0.5790503,0.64266396,0.6637461,0.68459064,0.70886105,0.65563285,0.6072737,0.59934855,0.60079145,0.6076876,0.64268506,0.6571867,0.64751166
actinic_keratosis_aug_133.mat,actinic_keratosis,0.11025077,0.16904503,0.14643644,0.15140828,0.14776689,0.15893379,0.19046438,0.19671199,0.25907058,0.264911,0.22971076,0.28483844,0.26781115,0.30550838,0.30505,0.3354901,0.35150847,0.36600935,0.38268095,0.4786391,0.5081961,0.57004786,0.6323922,0.60291755,0.5748877,0.5616374,0.53266245,0.6263972,0.62400895,0.61356914,0.53388804
actinic_keratosis_aug_134.mat,actinic_keratosis,0.5075467,0.50720257,0.4760044,0.4407409,0.3879303,0.34236524,0.32554975,0.33388734,0.37763616,0.40417483,0.41311693,0.45951414,0.48643005,0.5363774,0.5608485,0.5630221,0.55961746,0.5363325,0.4952073,0.66808254,0.7705272,0.8240284,0.8791,0.90598303,0.8923249,0.84240735,0.8264327,0.84765315,0.8523586,0.8160587,0.8460902
actinic_keratosis_aug_135.mat,actinic_keratosis,0.26638362,0.31010032,0.31308103,0.30380425,0.281725,0.2875574,0.31396672,0.32862327,0.34986082,0.36389944,0.3644562,0.36956102,0.34564117,0.37265605,0.3908609,0.39884236,0.41295737,0.4714666,0.55187076,0.6493612,0.7411489,0.85989815,0.9489789,0.91324323,0.8906806,0.89717776,0.8740852,0.8498913,0.8383263,0.84063107,0.7918618
actinic_keratosis_aug_136.mat,actinic_keratosis,0.11700919,0.17233138,0.15725581,0.1602885,0.16007724,0.17066292,0.20285235,0.21112375,0.27513722,0.2754239,0.2531821,0.3019164,0.2866814,0.321116,0.3230982,0.3480197,0.3697081,0.3856959,0.40854827,0.46738783,0.481956,0.5270971,0.5774702,0.53559655,0.50585824,0.5138492,0.5050716,0.54639536,0.5601925,0.56439275,0.49758792
actinic_keratosis_aug_137.mat,actinic_keratosis,0.21684034,0.2774781,0.2948141,0.29537404,0.29050362,0.30417636,0.33554325,0.34469396,0.37016934,0.39597142,0.4137718,0.46445465,0.47913146,0.5297316,0.5615856,0.58221,0.59590715,0.6635146,0.7213161,0.7359571,0.7411763,0.7902533,0.8274761,0.7346822,0.67384875,0.7025569,0.72344565,0.72974646,0.7875805,0.8432706,0.8417589
actinic_keratosis_aug_138.mat,actinic_keratosis,0.41996968,0.46354514,0.47239602,0.449755,0.42372328,0.4126833,0.42253587,0.42839006,0.4105036,0.46403855,0.5113669,0.5617265,0.59886384,0.653587,0.6984149,0.7066746,0.71648914,0.76603824,0.8009545,0.8470108,0.8837262,0.9237742,0.950923,0.8649253,0.79715455,0.79735744,0.79971117,0.7660432,0.8204512,0.8703084,0.90088254
actinic_keratosis_aug_139.mat,actinic_keratosis,0.38460547,0.4276813,0.43412417,0.41441792,0.3926721,0.39058027,0.40000626,0.40038866,0.38672796,0.42778498,0.462564,0.50295603,0.52331084,0.5614356,0.5901381,0.59417564,0.6060534,0.6582768,0.70442164,0.7581228,0.8022586,0.85191077,0.88561296,0.80757433,0.7459769,0.74591875,0.7453066,0.7211123,0.7609843,0.8006668,0.80846053
actinic_keratosis_aug_14.mat,actinic_keratosis,0.4164245,0.4452235,0.43409196,0.40510386,0.3650271,0.34173995,0.34274408,0.35187337,0.36575848,0.40206724,0.4222594,0.45687005,0.46686217,0.49942365,0.5178721,0.5177941,0.52150923,0.5431442,0.55856895,0.6623424,0.7327978,0.7904691,0.8417982,0.8164066,0.7847506,0.77332836,0.7707458,0.77075475,0.7882987,0.78247935,0.77366716
actinic_keratosis_aug_140.mat,actinic_keratosis,0.25053787,0.30825922,0.30919766,0.30903685,0.2965165,0.31543416,0.36218235,0.39054012,0.44603738,0.46590233,0.46001405,0.48876312,0.47899437,0.534348,0.56510866,0.5971952,0.6203948,0.68176806,0.7449166,0.8566566,0.9238151,1.0316392,1.1181849,1.0946094,1.0729413,1.0740697,1.0613046,1.06762,1.0352756,0.98099893,0.89200765
actinic_keratosis_aug_141.mat,actinic_keratosis,0.29135644,0.3363618,0.33667728,0.32776862,0.31617656,0.32094246,0.33976004,0.34236217,0.34931934,0.37251356,0.38420725,0.40963975,0.39858264,0.42631796,0.44316116,0.4496216,0.45970893,0.51075697,0.5732091,0.647009,0.70968133,0.78824466,0.84893745,0.79016614,0.7453089,0.748459,0.73335934,0.70325005,0.71222925,0.71876025,0.67170197
actinic_keratosis_aug_142.mat,actinic_keratosis,0.3628878,0.40408772,0.4040101,0.3816843,0.35083365,0.34088203,0.3491171,0.35532305,0.35898688,0.39566067,0.42029044,0.451561,0.4554168,0.4864491,0.50918525,0.51151586,0.520065,0.56523234,0.6174661,0.7019303,0.7735312,0.8475764,0.9057429,0.8537504,0.812645,0.81383264,0.81322956,0.80723745,0.82887185,0.8401426,0.8128399
actinic_keratosis_aug_143.mat,actinic_keratosis,0.24953383,0.29550764,0.2990145,0.2903003,0.27703777,0.2782602,0.29615858,0.30213124,0.31928653,0.3415271,0.35413224,0.38498774,0.3793624,0.40629902,0.42059588,0.425142,0.43317288,0.47555062,0.5267422,0.5898884,0.64264214,0.71262807,0.7709623,0.71822447,0.67987436,0.69188035,0.69552755,0.68479294,0.709146,0.7204499,0.68494445
actinic_keratosis_aug_144.mat,actinic_keratosis,0.24460459,0.29554647,0.2690703,0.2550248,0.23564185,0.23408209,0.2534658,0.2569476,0.30044758,0.32067016,0.30606246,0.36940014,0.37507397,0.42110068,0.428144,0.45288482,0.47792405,0.4784813,0.4670505,0.56984663,0.6017818,0.64112526,0.68642753,0.6596606,0.6259274,0.60161865,0.5744867,0.6425477,0.6495022,0.64184684,0.59703636
actinic_keratosis_aug_145.mat,actinic_keratosis,0.17548388,0.22451425,0.20873423,0.20218967,0.18880256,0.18485475,0.2081961,0.21951637,0.27058035,0.27950838,0.265111,0.30299056,0.2865179,0.3170427,0.32303554,0.34057137,0.3552601,0.37771645,0.40876755,0.48156458,0.5159362,0.5713002,0.6261236,0.5893895,0.5601335,0.5627639,0.55391484,0.5762662,0.5845632,0.57920223,0.5170164
actinic_keratosis_aug_146.mat,actinic_keratosis,0.382068,0.42589754,0.4102516,0.38627696,0.3625947,0.34419578,0.35044736,0.35097864,0.36091867,0.4002991,0.4218756,0.48855558,0.51751816,0.57063484,0.5953971,0.6116165,0.6347218,0.65030587,0.6411432,0.71015984,0.7291618,0.7421618,0.76262844,0.7013154,0.64098036,0.6289936,0.62724656,0.63131064,0.6847961,0.7170013,0.73625606
actinic_keratosis_aug_147.mat,actinic_keratosis,0.5051168,0.50774384,0.4878524,0.45705768,0.40657404,0.36541057,0.35274136,0.36581245,0.40388235,0.43564096,0.4533217,0.49292383,0.5178155,0.5592939,0.5858542,0.58416003,0.5701245,0.5606277,0.5400668,0.68895376,0.7868711,0.8446373,0.9016989,0.91741323,0.905206,0.8735486,0.8706458,0.8900742,0.90035796,0.8694364,0.8878703
actinic_keratosis_aug_148.mat,actinic_keratosis,0.34276035,0.39341342,0.4127543,0.3968014,0.3747685,0.38184488,0.39984828,0.4048167,0.39072186,0.4311554,0.46916854,0.4965056,0.5042398,0.5358205,0.5676405,0.5693525,0.5720866,0.6528554,0.74133927,0.7899884,0.8535375,0.9355298,0.9892659,0.8978769,0.837128,0.85536873,0.859129,0.8307355,0.87425107,0.927643,0.9227856
actinic_keratosis_aug_149.mat,actinic_keratosis,0.41947386,0.45587945,0.43640128,0.4045025,0.3665735,0.3411419,0.34300962,0.34849775,0.3605768,0.40230662,0.42034653,0.47647706,0.50076073,0.54715043,0.5666042,0.5756009,0.59179217,0.60001516,0.5843902,0.67477506,0.7103133,0.7358622,0.7659601,0.72749525,0.68048054,0.66194755,0.65621877,0.6703244,0.7048889,0.7123348,0.7209711
actinic_keratosis_aug_15.mat,actinic_keratosis,0.35116345,0.39200205,0.39611408,0.38007966,0.35625288,0.35755396,0.3717955,0.37706867,0.37237436,0.40377647,0.42376,0.43810305,0.42648533,0.45271102,0.4765525,0.47897682,0.48644763,0.5469314,0.6275823,0.72810835,0.8254586,0.93052435,1.0051774,0.95030403,0.9068711,0.9017611,0.87834716,0.84500074,0.84410304,0.8472955,0.8030616
actinic_keratosis_aug_150.mat,actinic_keratosis,0.32834914,0.3610145,0.35875592,0.33767632,0.30004698,0.2828145,0.28618556,0.2967027,0.3169908,0.34574974,0.3604581,0.3820673,0.37556556,0.39837626,0.41399062,0.41139776,0.41512042,0.4460831,0.4941651,0.59762245,0.686533,0.7742654,0.8463924,0.82265365,0.8028133,0.80141306,0.8025739,0.8200403,0.82703525,0.8205904,0.77892524
actinic_keratosis_aug_151.mat,actinic_keratosis,0.18182966,0.23684466,0.2118503,0.20555273,0.19075778,0.19510299,0.22110328,0.2280838,0.287252,0.30007243,0.27450225,0.33519366,0.32993907,0.37132707,0.3720046,0.39958233,0.42515323,0.42575848,0.42112997,0.52191186,0.55034405,0.59832305,0.6516992,0.6293028,0.6027834,0.58475924,0.55925286,0.6479215,0.6494093,0.6391898,0.57630104
actinic_keratosis_aug_152.mat,actinic_keratosis,0.49041003,0.4882323,0.45301875,0.42299378,0.3672976,0.3164677,0.29572964,0.30699328,0.35699093,0.38672602,0.38838884,0.43815866,0.46322176,0.50427616,0.5327278,0.54691845,0.5334996,0.50547415,0.47011214,0.62376845,0.7066054,0.7382199,0.78123313,0.80338085,0.7969046,0.75400156,0.74246633,0.828426,0.83465576,0.8081251,0.814777
actinic_keratosis_aug_153.mat,actinic_keratosis,0.26899672,0.31967387,0.31873897,0.3128966,0.29884657,0.31350815,0.3467912,0.36212033,0.39358318,0.40894562,0.4086194,0.4298935,0.41550478,0.45268634,0.4725439,0.48944995,0.5104046,0.5568886,0.6206117,0.7171918,0.79369605,0.8982234,0.98023677,0.9443672,0.9184583,0.9181281,0.89094186,0.8771907,0.857874,0.8431704,0.7772254
actinic_keratosis_aug_154.mat,actinic_keratosis,0.38005918,0.42123267,0.40899366,0.38430038,0.35497007,0.33481005,0.34055972,0.34516984,0.3655657,0.39964953,0.41678736,0.47656545,0.5031609,0.5545882,0.5776699,0.5921122,0.61911905,0.6376501,0.6321478,0.69683707,0.71231544,0.72659224,0.7458618,0.6876595,0.63215405,0.6250434,0.6331031,0.64310855,0.6943101,0.7245227,0.74131346
actinic_keratosis_aug_155.mat,actinic_keratosis,0.43707603,0.48444906,0.47199196,0.44278163,0.41342393,0.39196125,0.40234455,0.4083319,0.42390418,0.4640605,0.4881293,0.55606574,0.59493846,0.6692914,0.7073318,0.72683066,0.75257164,0.78785336,0.7796523,0.85282683,0.86866754,0.8878166,0.9083679,0.83842516,0.7655091,0.7531722,0.75950813,0.73359525,0.79094774,0.81218994,0.8441684
actinic_keratosis_aug_156.mat,actinic_keratosis,0.20852451,0.26781318,0.28877318,0.29311642,0.2906344,0.3072074,0.33883327,0.34736517,0.37777558,0.39981982,0.41642675,0.46472666,0.47508535,0.5210884,0.54652405,0.5627856,0.5812314,0.6426458,0.70029205,0.7140238,0.7203173,0.7714438,0.80982906,0.7161925,0.65678763,0.6873989,0.7093736,0.7176263,0.77705413,0.8372681,0.83163804
